,OBS,Area,Month,Year
230,2916.9982516421132,European Union,Mar,2015.0
231,325.1604250489261,Other EU,Mar,2015.0
232,2590.312050540125,EU15,Mar,2015.0
233,863.5916309990941,Other countries,Mar,2015.0
234,290.0,North America,Apr¹,2015.0
235,4280.0,Europe,Apr¹,2015.0
236,4010.0,European Union,Apr¹,2015.0
237,490.0,Other EU,Apr¹,2015.0
238,3520.0,EU15,Apr¹,2015.0
239,1020.0,Other countries,Apr¹,2015.0
240,350.0,North America,May¹,2015.0
241,4890.0,Europe,May¹,2015.0
242,4560.0,European Union,May¹,2015.0
243,520.0,Other EU,May¹,2015.0
244,4040.0,EU15,May¹,2015.0
245,870.0,Other countries,May¹,2015.0
246,340.0,North America,June¹,2015.0
247,5530.0,Europe,June¹,2015.0
248,5200.0,European Union,June¹,2015.0
249,580.0,Other EU,June¹,2015.0
250,4620.0,EU15,June¹,2015.0
251,720.0,Other countries,June¹,2015.0
